2.40	0.820	0.900	0.710
2.46	0.809	0.879	0.735
2.54	0.818	0.899	0.761
2.61	0.778	0.833	0.700
2.67	0.728	0.839	0.608
2.72	0.800	0.893	0.702
2.75	0.780	0.837	0.700
2.79	0.764	0.811	0.648
2.83	0.698	0.806	0.575
2.86	0.695	0.806	0.552
2.89	0.729	0.808	0.643
2.92	0.694	0.799	0.492
2.95	0.788	0.847	0.744
2.98	0.712	0.812	0.644
3.01	0.723	0.833	0.618
3.03	0.692	0.821	0.456
3.08	0.697	0.774	0.639
3.09	0.719	0.855	0.545
3.14	0.767	0.849	0.711
3.19	0.717	0.785	0.650
3.24	0.675	0.713	0.630
3.35	0.687	0.800	0.597
3.48	0.628	0.730	0.532
3.59	0.597	0.729	0.467
3.65	0.553	0.633	0.449
3.75	0.495	0.574	0.414
3.84	0.495	0.624	0.352
3.89	0.563	0.803	0.290
3.94	0.487	0.612	0.363
3.99	0.467	0.565	0.346
4.03	0.388	0.469	0.302
4.08	0.434	0.577	0.297
4.12	0.491	0.640	0.367
4.17	0.487	0.554	0.419
4.20	0.441	0.577	0.342
4.23	0.414	0.492	0.348
4.26	0.404	0.487	0.309
4.29	0.300	0.453	0.135
4.31	0.439	0.588	0.326
4.35	0.350	0.420	0.279
4.37	0.398	0.551	0.219
4.41	0.426	0.621	0.288
4.44	0.348	0.397	0.253
4.48	0.328	0.401	0.277
4.52	0.316	0.408	0.187
4.56	0.376	0.472	0.247
4.59	0.297	0.366	0.148
4.66	0.222	0.317	0.110
4.68	0.215	0.273	0.093
4.74	0.238	0.303	0.194
4.82	0.246	0.334	0.200
4.98	0.182	0.222	0.151
5.13	0.147	0.321	0.095
5.26	0.084	0.208	0.016
5.42	0.090	0.150	0.027
5.51	0.060	0.161	0.025
5.60	0.082	0.178	0.044
5.70	0.028	0.071	0.001
5.87	0.009	0.025	0.001
6.05	0.001	0.007	0.002
